 85Zr   85   40    2    1    1    0    9.824822    6.569728
  1   0.000000   3.5  1   4.72E+02  0 0                  (7/2+)  0                      
  2   0.292200   0.5 -1   1.09E+01  1 0                  (1/2-)  0                      
                                          1      0.292  0.000E+00  0.000E+00  9.560E-02
