 24Al   24   13   14    2    2    3   14.868201    1.864109
  1   0.000000   4.0  1   2.05E+00  0 0                      4+  0                      
  2   0.425810   1.0  1   1.31E-01  1 0                      1+  0                      
                                          1      0.426  0.000E+00  0.000E+00  1.140E-03
  3   1.088300   1.0  1   0.00E+00  1 0                      1+  0                      
                                          2      0.662  0.000E+00  0.000E+00  0.000E+00
  4   2.991000   1.0  1   0.00E+00  0 0                      1+  0                      
  5   3.364000   1.0  1   0.00E+00  0 0                      1+  0                      
  6   4.389000   1.0  1   0.00E+00  0 0                      1+  0                      
  7   4.700000   1.0  1   0.00E+00  0 0                      1+  0                      
  8   4.976000   1.0  1   0.00E+00  0 0                      1+  0                      
  9   5.382000   1.0  1   0.00E+00  0 0                    (1+)  0                      
 10   5.801000   1.0  1   0.00E+00  0 0                      1+  0                      
 11   5.953000   0.0  1   0.00E+00  0 0                      0+  0                      
 12   6.243000   1.0  1   0.00E+00  0 0                      1+  0                      
 13   6.487000   1.0  1   0.00E+00  0 0                      1+  0                      
 14   6.735000   1.0  1   0.00E+00  0 0                      1+  0                      
