 26Si   26   14   25    8    7    3   19.039643    5.514000
  1   0.000000   0.0  1  -1.00E+00  0 0                      0+  0                      
  2   1.797270   2.0  1   0.00E+00  1 0                      2+  0                      
                                          1      1.797  1.000E+00  1.000E+00  0.000E+00
  3   2.786310   2.0  1   0.00E+00  1 0                      2+  0                      
                                          2      0.989  1.000E+00  1.000E+00  0.000E+00
  4   3.756950   3.0  1   0.00E+00  2 0                    (3+)  0                      
                                          3      0.971  5.000E-01  5.000E-01  0.000E+00
                                          2      1.960  5.000E-01  5.000E-01  0.000E+00
  5   3.842200   4.0  1   0.00E+00  1 0                    (4+)  0                      
                                          2      2.045  1.000E+00  1.000E+00  0.000E+00
  6   4.139180   2.0  1   0.00E+00  1 0                      2+  0                      
                                          2      2.342  1.000E+00  1.000E+00  0.000E+00
  7   4.186850   3.0  1   0.00E+00  1 0                    (3+)  0                      
                                          3      1.401  1.000E+00  1.000E+00  0.000E+00
  8   5.928500   3.0  1   0.00E+00  1 0                    (3+)  0                      
                                          7      1.742  1.000E+00  1.000E+00  0.000E+00
  9   6.295000   2.0  1   0.00E+00  0 0                      2+  0                      
 10   6.384000   2.0  1   0.00E+00  0 0                    (2+)  0                      
 11   6.765000  -1.0  0   0.00E+00  0 0                          0                      
 12   7.501000   2.0  1   0.00E+00  0 0                      2+  0                      
 13   7.606000  -1.0  0   0.00E+00  0 0                          0                      
 14   7.962000  -1.0  0   0.00E+00  0 0                          0                      
 15   8.156000   1.0 -1   0.00E+00  0 1                 (1-,2+)  0                      
 16   8.254000  -1.0  0   0.00E+00  0 0                          0                      
 17   8.563000  -1.0  0   0.00E+00  0 0                          0                      
 18   9.370000  -1.0  0   0.00E+00  0 0                          0                      
 19   9.433000  -1.0  0   0.00E+00  0 0                          0                      
 20   9.725000  -1.0  0   0.00E+00  0 0                          0                      
 21  10.299000  -1.0  0   0.00E+00  0 0                          0                      
 22  10.405000  -1.0  0   0.00E+00  0 0                          0                      
 23  10.688000  -1.0  0   0.00E+00  0 0                          0                      
 24  10.827000  -1.0  0   0.00E+00  0 0                          0                      
 25  13.015000   3.0  1   0.00E+00  0 0                    (3+)  0                      
