155Tm  155   69    6    6    5    1   10.270097    1.309918
  1   0.000000   5.5 -1   2.16E+01  0 0                   11/2-  0                      
  2   0.174900   3.5 -1   0.00E+00  1 1             (7/2-,9/2-)  0                      
                                          1      0.175  1.000E+00  1.000E+00  0.000E+00
  3   0.236200   3.5 -1   0.00E+00  1 1             (7/2-,9/2-)  0                      
                                          1      0.236  1.000E+00  1.000E+00  0.000E+00
  4   0.361600   3.5 -1   0.00E+00  2 1             (7/2-,9/2-)  0                      
                                          3      0.125  1.154E-01  1.154E-01  0.000E+00
                                          1      0.362  8.846E-01  8.846E-01  0.000E+00
  5   0.380000  -1.0  0   0.00E+00  1 0                          0                      
                                          2      0.205  1.000E+00  1.000E+00  0.000E+00
  6   0.614200  -1.0  0   0.00E+00  1 0                          0                      
                                          3      0.378  1.000E+00  1.000E+00  0.000E+00
