225Ac  225   89    4    1    1    0    6.668161    4.477499
  1   0.000000   1.5 -1   8.57E+05  0 0                  (3/2-)  0                      
  2   0.040090   1.5  1   7.20E-10  1 0                  (3/2+)  0                      
                                          1      0.040  4.361E-01  1.000E+00  1.293E+00
  3   0.120800   2.5 -1   0.00E+00  0 0                  (5/2-)  0                      
  4   0.155600   2.5  1   0.00E+00  0 0                  (5/2+)  0                      
