100Mo  100   42   91   39   19    7    8.294241   11.146656
  1   0.000000   0.0  1  -1.00E+00  0 0                      0+  0                      
  2   0.535663   2.0  1   0.00E+00  1 0                      2+  0                      
                                          1      0.536  9.961E-01  1.000E+00  3.880E-03
  3   0.695210   0.0  1   1.58E-09  2 0                      0+  0                      
                                          2      0.160  8.177E-01  1.000E+00  2.230E-01
                                          1      0.695  0.000E+00  0.000E+00  0.000E+00
  4   1.063918   2.0  1   0.00E+00  3 0                      2+  0                      
                                          3      0.369  1.034E-02  1.034E-02  0.000E+00
                                          2      0.528  7.240E-01  7.269E-01  4.000E-03
                                          1      1.064  2.626E-01  2.627E-01  6.720E-04
  5   1.136170   4.0  1   0.00E+00  1 0                      4+  0                      
                                          2      0.601  9.972E-01  1.000E+00  2.800E-03
  6   1.463950   2.0  1   0.00E+00  4 0                      2+  0                      
                                          5      0.327  1.939E-02  1.939E-02  0.000E+00
                                          4      0.400  2.586E-02  2.586E-02  0.000E+00
                                          3      0.769  5.495E-01  5.503E-01  1.450E-03
                                          2      0.928  4.041E-01  4.044E-01  9.420E-04
  7   1.504790   0.0  1   0.00E+00  2 0                      0+  0                      
                                          4      0.441  2.914E-01  2.914E-01  0.000E+00
                                          2      0.969  7.080E-01  7.086E-01  8.300E-04
  8   1.607300   3.0  1   0.00E+00  3 0                    (3+)  0                      
                                          5      0.471  9.901E-02  9.901E-02  0.000E+00
                                          4      0.543  4.158E-01  4.158E-01  0.000E+00
                                          2      1.072  4.851E-01  4.851E-01  0.000E+00
  9   1.766520   2.0  1   0.00E+00  0 0                    (2+)  0                      
 10   1.908190   3.0 -1   0.00E+00  0 0                      3-  0                      
 11   1.977150   1.0  0   0.00E+00  4 1                  (1,2+)  0                      
                                          6      0.513  2.500E-01  2.500E-01  0.000E+00
                                          4      0.913  2.375E-01  2.375E-01  0.000E+00
                                          3      1.282  1.750E-01  1.750E-01  0.000E+00
                                          2      1.442  3.375E-01  3.375E-01  0.000E+00
 12   2.037550   0.0  1   0.00E+00  2 0                      0+  0                      
                                          6      0.574  6.181E-02  6.181E-02  0.000E+00
                                          2      1.502  9.378E-01  9.382E-01  4.090E-04
 13   2.042780   2.0  1   0.00E+00  0 0                    (2)+  0                      
 14   2.086380   0.0  1   0.00E+00  3 0                      0+  0                      
                                          6      0.623  2.060E-01  2.066E-01  2.540E-03
                                          4      1.022  6.963E-01  6.968E-01  7.340E-04
                                          2      1.550  9.663E-02  9.663E-02  0.000E+00
 15   2.189650   0.0  1   0.00E+00  2 1                (0+,1,2)  0                      
                                          4      1.126  2.013E-01  2.013E-01  0.000E+00
                                          2      1.654  7.987E-01  7.987E-01  0.000E+00
 16   2.286470   2.0  1   0.00E+00  0 0                      2+  0                      
 17   2.320400   0.0  1   0.00E+00  2 1                (0+,1,2)  0                      
                                          6      0.856  3.077E-01  3.077E-01  0.000E+00
                                          4      1.257  6.923E-01  6.923E-01  0.000E+00
 18   2.420000  -1.0  0   0.00E+00  0 0                          0                      
 19   2.460000  -1.0  0   0.00E+00  0 0                          0                      
 20   2.500000  -1.0  0   0.00E+00  0 0                          0                      
 21   2.540000  -1.0  0   0.00E+00  0 0                          0                      
 22   2.580000  -1.0  0   0.00E+00  0 0                          0                      
 23   2.620000  -1.0  0   0.00E+00  0 0                          0                      
 24   2.660000  -1.0  0   0.00E+00  0 0                          0                      
 25   2.700000  -1.0  0   0.00E+00  0 0                          0                      
 26   2.740000  -1.0  0   0.00E+00  0 0                          0                      
 27   2.780000  -1.0  0   0.00E+00  0 0                          0                      
 28   2.820000  -1.0  0   0.00E+00  0 0                          0                      
 29   2.860000  -1.0  0   0.00E+00  0 0                          0                      
 30   2.900000  -1.0  0   0.00E+00  0 0                          0                      
 31   2.934900   4.0  1   0.00E+00  1 0                    (4+)  0                      
                                          4      1.871  1.000E+00  1.000E+00  0.000E+00
 32   2.970300   4.0  1   0.00E+00  3 0                      4+  0                      
                                          8      1.363  5.319E-02  5.319E-02  0.000E+00
                                          4      1.907  2.074E-01  2.074E-01  0.000E+00
                                          2      2.435  7.394E-01  7.394E-01  0.000E+00
 33   3.004300  -1.0  0   0.00E+00  1 0                          0                      
                                          8      1.397  1.000E+00  1.000E+00  0.000E+00
 34   3.020000  -1.0  0   0.00E+00  0 0                          0                      
 35   3.039300   4.0  1   0.00E+00  1 0                    (4+)  0                      
                                          8      1.432  1.000E+00  1.000E+00  0.000E+00
 36   3.062640   0.0  1   0.00E+00  2 1                (0+,1,2)  0                      
                                          6      1.599  3.818E-01  3.818E-01  0.000E+00
                                          2      2.527  6.182E-01  6.182E-01  0.000E+00
 37   3.070300   0.0  1   0.00E+00  1 1                (0+,1,2)  0                      
                                          2      2.535  1.000E+00  1.000E+00  0.000E+00
 38   3.129700   0.0  1   0.00E+00  1 1                (0+,1,2)  0                      
                                          6      1.666  1.000E+00  1.000E+00  0.000E+00
 39   3.180000  -1.0  0   0.00E+00  0 0                          0                      
 40   3.220000  -1.0  0   0.00E+00  0 0                          0                      
 41   3.260000  -1.0  0   0.00E+00  0 0                          0                      
 42   3.300000  -1.0  0   0.00E+00  0 0                          0                      
 43   3.340000  -1.0  0   0.00E+00  0 0                          0                      
 44   3.380000  -1.0  0   0.00E+00  0 0                          0                      
 45   3.420000  -1.0  0   0.00E+00  0 0                          0                      
 46   3.460000  -1.0  0   0.00E+00  0 0                          0                      
 47   3.500000  -1.0  0   0.00E+00  0 0                          0                      
 48   3.540000  -1.0  0   0.00E+00  0 0                          0                      
 49   3.580000  -1.0  0   0.00E+00  0 0                          0                      
 50   3.620000  -1.0  0   0.00E+00  0 0                          0                      
 51   3.660000  -1.0  0   0.00E+00  0 0                          0                      
 52   3.700000  -1.0  0   0.00E+00  0 0                          0                      
 53   3.740000  -1.0  0   0.00E+00  0 0                          0                      
 54   3.780000  -1.0  0   0.00E+00  0 0                          0                      
