155Sm  155   62   39    5    3    1    5.806960    9.213574
  1   0.000000   1.5 -1  -1.00E+00  0 0                    3/2-  0                      
  2   0.016600   2.5  1   0.00E+00  0 0                    5/2+  0                      
  3   0.053200   2.5 -1   0.00E+00  1 0                    5/2-  0                      
                                          1      0.053  8.333E-02  1.000E+00  1.100E+01
  4   0.076300   3.5  1   0.00E+00  0 0                    7/2+  0                      
  5   0.127700   3.5 -1   0.00E+00  0 0                    7/2-  0                      
  6   0.152400   4.5  1   0.00E+00  0 0                    9/2+  0                      
  7   0.220600   4.5 -1   0.00E+00  0 0                    9/2-  0                      
  8   0.426400   2.5 -1   0.00E+00  1 0                    5/2-  0                      
                                          2      0.410  9.932E-01  1.000E+00  6.840E-03
  9   0.500000   3.5 -1   0.00E+00  0 0                    7/2-  0                      
 10   0.617500   1.5  1   0.00E+00  0 0                    3/2+  0                      
 11   0.658300   2.5  1   0.00E+00  0 0                    5/2+  0                      
 12   0.778600   1.5 -1   0.00E+00  3 0                    3/2-  0                      
                                          3      0.725  3.614E-01  3.645E-01  8.530E-03
                                          2      0.762  1.010E-01  1.010E-01  0.000E+00
                                          1      0.779  5.315E-01  5.345E-01  5.600E-03
 13   0.821300   2.5 -1   0.00E+00  0 0                    5/2-  0                      
 14   0.844100   1.5 -1   0.00E+00  0 0                    3/2-  0                      
 15   0.882100   2.5  1   0.00E+00  0 0                    5/2+  0                      
 16   0.903400   0.5  1   0.00E+00  0 0                  (1/2)+  0                      
 17   0.919000   3.5 -1   0.00E+00  0 0                  (7/2)-  0                      
 18   0.930600   1.5 -1   0.00E+00  0 0                    3/2-  0                      
 19   0.962400   3.5 -1   0.00E+00  0 0                    7/2-  0                      
 20   1.020000  -1.0  0   0.00E+00  0 0                          0                      
 21   1.106600   1.5  1   0.00E+00  0 0                    3/2+  0                      
 22   1.168700   1.5 -1   0.00E+00  0 0                    3/2-  0                      
 23   1.180000  -1.0  0   0.00E+00  0 0                          0                      
 24   1.250000  -1.0  0   0.00E+00  0 0                          0                      
 25   1.327500   2.5  1   0.00E+00  0 0                    5/2+  0                      
 26   1.362100   1.5  1   0.00E+00  0 0                    3/2+  0                      
 27   1.490000  -1.0  0   0.00E+00  0 0                          0                      
 28   1.550000  -1.0  0   0.00E+00  0 0                          0                      
 29   1.670000  -1.0  0   0.00E+00  0 0                          0                      
 30   1.730000  -1.0  0   0.00E+00  0 0                          0                      
 31   1.850000  -1.0  0   0.00E+00  0 0                          0                      
 32   1.940000  -1.0  0   0.00E+00  0 0                          0                      
 33   2.050000  -1.0  0   0.00E+00  0 0                          0                      
 34   2.150000  -1.0  0   0.00E+00  0 0                          0                      
 35   2.250000  -1.0  0   0.00E+00  0 0                          0                      
 36   2.350000  -1.0  0   0.00E+00  0 0                          0                      
 37   2.450000  -1.0  0   0.00E+00  0 0                          0                      
 38   2.550000  -1.0  0   0.00E+00  0 0                          0                      
 39   2.650000  -1.0  0   0.00E+00  0 0                          0                      
