 47Mn   47   25    2    0    0    0   18.219946    0.383777
  1   0.000000   2.5 -1   1.00E-01  0 0                  (5/2-)  2 =    100.0000 %EC+%B+ GE     3.4000 %ECP   
  2   6.870000   3.5 -1   0.00E+00  0 0                  (7/2-)  1 =    100.0000 %P     
