  28P   28   15    2    0    0    1   14.560142    2.052322
  1   0.000000   3.0  1   2.70E-01  0 0                      3+  1 =    100.0000 %EC+%B+
  2   5.900000   0.0  1   0.00E+00  0 0                      0+  0                      
