 57Cu   57   29    3    0    0    0   16.750600    0.690336
  1   0.000000  -1.0  0  -1.00E+00  0 0                          0                      
  2   3.280000   2.5 -1   0.00E+00  0 0          (5/2- TO 9/2-)  1 =    100.0000 %P     
  3   5.350000   3.5 -1   0.00E+00  0 0                  (7/2-)  1 =    100.0000 %P     
