184Tl  184   81    3    2    2    0    8.367412    0.367671
  1   0.000000   2.0 -1  -1.00E+00  0 0                    (2-)  0                      
  2   0.117500   3.0  1   0.00E+00  1 0                    (3+)  0                      
                                          1      0.117  0.000E+00  0.000E+00  2.870E-01
  3   0.216500   2.0 -1   0.00E+00  1 1              (2-,3-,4-)  0                      
                                          2      0.099  0.000E+00  0.000E+00  4.410E-01
