247Fm  247  100    2    0    0    0    6.590000    3.435000
  1   0.000000   3.5  1   3.10E+01  0 0                  (7/2+)  0                      
  2   0.045000   0.5  1   5.10E+00  0 0                  (1/2+)  1 =     12.0000 %IT    
