222Ac  222   89    3    0    0    1    5.980569    3.631051
  1   0.000000   1.0 -1  -1.00E+00  0 0                      1-  0                      
  2   0.041000  -1.0  0   0.00E+00  0 0                          0                      
  3   0.137000  -1.0  0   0.00E+00  0 0                          0                      
